2020-01-27 11:23:50 INFO  DescribeVpcs:218 - All VPCs - Count : 0
2020-01-27 11:23:50 INFO  DescribeVpcs:59 - Completed DescribeSecurityGroups process
2020-01-27 12:51:53 INFO  DescribeUnusedSecurityGroups:48 - Started DescribeSecurityGroups process
2020-01-27 12:51:55 ERROR DescribeUnusedSecurityGroups:235 - software.amazon.awssdk.services.ec2.model.Ec2Exception: You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: e253a093-6a12-4d6b-8e3f-92f26546857a)
2020-01-27 12:51:55 INFO  DescribeUnusedSecurityGroups:237 - All VPCs - Count : 0
2020-01-27 12:51:55 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: 715a752c-89da-4dd1-a3c3-63ffa675b85f)
2020-01-27 12:51:55 INFO  DescribeUnusedSecurityGroups:64 - Completed DescribeSecurityGroups process
2020-01-27 12:53:08 INFO  DescribeUnusedSecurityGroups:48 - Started DescribeSecurityGroups process
2020-01-27 12:53:10 ERROR DescribeUnusedSecurityGroups:235 - software.amazon.awssdk.services.ec2.model.Ec2Exception: You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: aeceb0e8-6b7c-44ed-bf35-676cc8ea7d3f)
2020-01-27 12:53:10 INFO  DescribeUnusedSecurityGroups:237 - All VPCs - Count : 0
2020-01-27 12:53:10 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: a0b4f517-8f7b-40a2-9f85-fb0c3c1e29aa)
2020-01-27 12:53:10 INFO  DescribeUnusedSecurityGroups:64 - Completed DescribeSecurityGroups process
2020-01-27 12:54:16 INFO  DescribeUnusedSecurityGroups:48 - Started DescribeSecurityGroups process
2020-01-27 12:54:18 ERROR DescribeUnusedSecurityGroups:235 - software.amazon.awssdk.services.ec2.model.Ec2Exception: AWS was not able to validate the provided access credentials (Service: Ec2, Status Code: 401, Request ID: 9cbbcb99-5b47-4c74-9d5e-51a2951d7d2c)
2020-01-27 12:54:18 INFO  DescribeUnusedSecurityGroups:237 - All VPCs - Count : 0
2020-01-27 12:54:18 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : AWS was not able to validate the provided access credentials (Service: Ec2, Status Code: 401, Request ID: 1fb93fa5-29a7-4684-8097-84dc52c4b509)
2020-01-27 12:54:18 INFO  DescribeUnusedSecurityGroups:64 - Completed DescribeSecurityGroups process
2020-01-27 12:57:15 INFO  DescribeUnusedSecurityGroups:48 - Started DescribeSecurityGroups process
2020-01-27 12:57:17 ERROR DescribeUnusedSecurityGroups:235 - software.amazon.awssdk.services.ec2.model.Ec2Exception: You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: 49d04600-b1d0-46e5-a866-f1b297b1772c)
2020-01-27 12:57:17 INFO  DescribeUnusedSecurityGroups:237 - All VPCs - Count : 0
2020-01-27 12:57:17 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: 23c0c74d-0645-4d86-a794-1644b7be812f)
2020-01-27 12:57:17 INFO  DescribeUnusedSecurityGroups:64 - Completed DescribeSecurityGroups process
2020-01-27 12:58:20 INFO  DescribeUnusedSecurityGroups:48 - Started DescribeSecurityGroups process
2020-01-27 12:58:22 ERROR DescribeUnusedSecurityGroups:235 - software.amazon.awssdk.services.ec2.model.Ec2Exception: You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: e1c92f19-52ee-4e05-9d48-48c0d65c02b1)
2020-01-27 12:58:22 INFO  DescribeUnusedSecurityGroups:237 - All VPCs - Count : 0
2020-01-27 12:58:22 INFO  DescribeUnusedSecurityGroups:106 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: ceb4615b-9c46-40bb-a4ac-1a56a0eb240c)
2020-01-27 12:58:22 INFO  DescribeUnusedSecurityGroups:64 - Completed DescribeSecurityGroups process
2020-01-27 13:00:07 INFO  DescribeSecurityGroups:43 - Started DescribeSecurityGroups process
2020-01-27 13:00:10 ERROR DescribeSecurityGroups:212 - software.amazon.awssdk.services.ec2.model.Ec2Exception: You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: 5cad6c5d-9978-42c5-95eb-a0a8b5d51766)
2020-01-27 13:00:10 INFO  DescribeSecurityGroups:214 - All VPCs - Count : 0
2020-01-27 13:00:10 INFO  DescribeSecurityGroups:96 - Exception : Message : You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: 63d325c0-b06e-427b-8f3e-2b2cffeca491)
2020-01-27 13:00:10 INFO  DescribeSecurityGroups:59 - Completed DescribeSecurityGroups process
2020-01-27 15:48:52 INFO  DescribeUnusedSecurityGroups:46 - Started DescribeSecurityGroups process
2020-01-27 15:48:54 ERROR DescribeUnusedSecurityGroups:235 - software.amazon.awssdk.services.ec2.model.Ec2Exception: You are not authorized to perform this operation. (Service: Ec2, Status Code: 403, Request ID: af494b21-fd45-4e26-a75b-0d3f87f9255e)
